                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8177,                 4.2561,                  4.228,                 0.0092,                0.56935,                0.03018,                0.00732,                 3.9543,                  3.985,                 4.1555,                 0.0964,                 0.0004,                 0.0004
                      1,                  3.901,                   4.24,                 4.2124,                0.00931,                0.58049,                0.04671,                0.01349,                 3.9114,                 3.9695,                 4.1228,               0.091896,             0.00089554,             0.00089554
                      2,                 3.7397,                 4.2054,                 4.1618,                 0.0095,                0.58037,                0.04705,                0.01396,                 3.8555,                 3.9708,                 4.0784,               0.087386,              0.0013861,              0.0013861
                      3,                 3.7165,                 4.1605,                  4.107,                0.00808,                 0.5929,                0.03343,                 0.0083,                 3.8102,                 3.9573,                 4.0354,               0.082872,              0.0018718,              0.0018718
                      4,                 3.8066,                 4.1415,                 4.0584,                0.00778,                0.58281,                0.03327,                0.00924,                 3.7338,                 3.9645,                 3.9745,               0.078352,              0.0023525,              0.0023525
                      5,                 3.6789,                 4.0949,                 4.0043,                0.00818,                 0.6071,                0.05497,                0.01733,                  3.679,                 3.9529,                 3.9394,               0.073828,              0.0028282,              0.0028282
                      6,                 3.6557,                 4.0787,                 3.9976,                0.00781,                0.58345,                0.05243,                0.01529,                 3.6338,                 3.8968,                 3.8941,               0.069299,               0.003299,               0.003299
                      7,                 3.5459,                 4.0091,                  3.938,                0.00799,                0.59505,                0.05163,                0.01534,                 3.6033,                 3.9219,                 3.8602,               0.064765,              0.0037649,              0.0037649
                      8,                 3.4621,                 3.9829,                  3.902,                0.00803,                0.59829,                0.07267,                0.02203,                 3.5645,                 3.8806,                 3.8121,               0.060226,              0.0042258,              0.0042258
                      9,                 3.4574,                 3.9215,                 3.8762,                0.00795,                 0.5899,                0.07469,                0.02397,                 3.5427,                 4.0415,                 3.7806,               0.055682,              0.0046817,              0.0046817
                     10,                 3.4748,                 3.8376,                 3.8093,                0.00071,                0.21392,                0.03165,                0.00848,                 3.5162,                 4.0249,                 3.7377,               0.051133,              0.0051327,              0.0051327
                     11,                 3.4508,                 3.7943,                 3.7859,                0.00015,                0.04639,                 0.0001,                  4e-05,                 3.4955,                 4.0318,                 3.7054,               0.046579,              0.0055787,              0.0055787
                     12,                 3.2753,                 3.7106,                 3.7475,                0.00037,                0.11082,                0.00038,                0.00012,                 3.4943,                 3.9949,                 3.6624,                0.04202,              0.0060198,              0.0060198
                     13,                 3.2783,                 3.6723,                 3.7016,                 0.0002,                0.06186,                0.00022,                  7e-05,                 3.5011,                 3.9702,                 3.6267,               0.037456,               0.006456,               0.006456
                     14,                 3.2836,                 3.6162,                 3.6435,                0.00018,                0.05412,                0.00034,                 0.0001,                 3.5023,                 3.9444,                 3.5908,               0.032887,              0.0068872,              0.0068872
                     15,                  3.222,                 3.5565,                 3.5941,                0.00018,                0.05412,                 0.0003,                  9e-05,                 3.5025,                 3.9397,                 3.5596,               0.028313,              0.0073134,              0.0073134
                     16,                 3.2119,                 3.4923,                 3.5602,                 0.0002,                0.05928,                0.00043,                0.00012,                 3.5049,                 3.9042,                 3.4967,               0.023735,              0.0077347,              0.0077347
