                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8177,                 7.9299,                 4.2561,                  4.228,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9591,                 5.1691,                 3.9869,                 4.1589,                 0.0964,                 0.0004,                 0.0004
                      1,                 3.9195,                  7.226,                 4.2583,                  4.228,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9609,                 5.1687,                 3.9866,                 4.1588,               0.091896,             0.00089554,             0.00089554
                      2,                 3.8108,                 6.6629,                 4.2419,                 4.2031,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9554,                 5.1656,                 3.9834,                 4.1562,               0.087386,              0.0013861,              0.0013861
                      3,                 3.8316,                 5.7455,                 4.2404,                 4.1776,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9472,                 5.1595,                 3.9796,                 4.1512,               0.082872,              0.0018718,              0.0018718
                      4,                 3.9772,                 5.4989,                 4.2587,                 4.1609,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9423,                 5.1547,                 3.9769,                 4.1458,               0.078352,              0.0023525,              0.0023525
                      5,                 3.8624,                 5.2224,                 4.2341,                 4.1431,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9385,                 5.1489,                  3.975,                 4.1403,               0.073828,              0.0028282,              0.0028282
                      6,                 3.8438,                 5.1275,                 4.2348,                  4.138,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9171,                 5.1328,                 3.9655,                 4.1255,               0.069299,               0.003299,               0.003299
                      7,                  3.806,                 5.0629,                 4.1826,                 4.1103,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.895,                 5.1014,                 3.9651,                 4.1071,               0.064765,              0.0037649,              0.0037649
                      8,                  3.719,                 5.0431,                 4.1613,                 4.0815,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.8462,                 5.0531,                 3.9543,                 4.0698,               0.060226,              0.0042258,              0.0042258
                      9,                 3.6706,                 5.0374,                 4.0846,                 4.0509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.8143,                 5.0296,                 3.9408,                  4.041,               0.055682,              0.0046817,              0.0046817
